relationship_id,customer_id,account_id,account_balance,current_exposure,turnover_in,turnover_out,past_due,products,rm_note,synthetic_flag
REL-00075,CUS-00075,ACC-00075,3066538000,2310895000,7985089000,3133207000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00076,CUS-00076,ACC-00076,4913583000,1068065000,11271619000,3162037000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00077,CUS-00077,ACC-00077,1000853000,1895165000,7555839000,6319535000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00078,CUS-00078,ACC-00078,3775591000,1143674000,11296636000,5046604000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00079,CUS-00079,ACC-00079,1349207000,3246315000,10023045000,8296020000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00080,CUS-00080,ACC-00080,5423862000,1962023000,10298897000,1597702000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00081,CUS-00081,ACC-00081,4626612000,2971260000,8813208000,1616078000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00082,CUS-00082,ACC-00082,3328298000,820383000,7462322000,1912664000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00083,CUS-00083,ACC-00083,4467932000,2833408000,9521828000,2355094000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00084,CUS-00084,ACC-00084,3888708000,661522000,9098920000,2622029000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00085,CUS-00085,ACC-00085,933667000,2487210000,7061376000,6092194000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00086,CUS-00086,ACC-00086,2443638000,1589388000,8730155000,4866166000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00087,CUS-00087,ACC-00087,2160727000,4387921000,9465462000,6551374000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00088,CUS-00088,ACC-00088,3494431000,1999698000,10742513000,5371993000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00089,CUS-00089,ACC-00089,4420685000,1391244000,8526715000,1279296000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00090,CUS-00090,ACC-00090,5238228000,1796198000,10346168000,1719604000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00091,CUS-00091,ACC-00091,2313428000,1481576000,6206649000,2498470000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00092,CUS-00092,ACC-00092,4428460000,1209200000,9808153000,2578146000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00093,CUS-00093,ACC-00093,964446000,514922000,6296694000,4769667000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00094,CUS-00094,ACC-00094,2486992000,962369000,7737569000,3665248000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00095,CUS-00095,ACC-00095,1055991000,4257406000,8714407000,7676599000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00096,CUS-00096,ACC-00096,2696900000,1316856000,9448323000,5231048000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00097,CUS-00097,ACC-00097,3288234000,3210368000,11031360000,6197451000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00098,CUS-00098,ACC-00098,3630697000,1657634000,7662866000,1771695000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00099,CUS-00099,ACC-00099,4455896000,2226180000,8956619000,1699549000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00100,CUS-00100,ACC-00100,2115300000,439747000,6010935000,2513338000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00101,CUS-00101,ACC-00101,2481847000,1747946000,7131874000,3310570000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00102,CUS-00102,ACC-00102,2977028000,2677916000,7701293000,3152093000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00103,CUS-00103,ACC-00103,4906901000,1999941000,11694625000,3620459000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00104,CUS-00104,ACC-00104,3614822000,1973398000,9950625000,4364619000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00105,CUS-00105,ACC-00105,2091733000,2834116000,10760501000,7888254000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00106,CUS-00106,ACC-00106,3114705000,1414838000,10462027000,5406566000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00107,CUS-00107,ACC-00107,3484651000,723741000,6935411000,1074154000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00108,CUS-00108,ACC-00108,2192583000,1392342000,4808937000,1483244000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00109,CUS-00109,ACC-00109,5217871000,2410777000,10925548000,2567969000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00110,CUS-00110,ACC-00110,624553000,611793000,6299579000,5355864000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00111,CUS-00111,ACC-00111,3366658000,2616556000,8340511000,3028314000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00112,CUS-00112,ACC-00112,2239279000,762142000,7298450000,3690776000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00113,CUS-00113,ACC-00113,4350202000,1279004000,11386507000,4231585000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00114,CUS-00114,ACC-00114,4304107000,4149965000,10461855000,3944115000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00115,CUS-00115,ACC-00115,688868000,1202769000,10522907000,9557988000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00116,CUS-00116,ACC-00116,1072650000,2200320000,3068622000,1927766000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00117,CUS-00117,ACC-00117,5211648000,1047984000,10838202000,2142451000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00118,CUS-00118,ACC-00118,2199043000,951654000,6228563000,2649229000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00119,CUS-00119,ACC-00119,3037519000,3973395000,7967842000,3469872000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
REL-00120,CUS-00120,ACC-00120,3936206000,1032787000,10120773000,3680989000,0,['MOCK_CURRENT_ACCOUNT'],Khach hang mock co giao dich on dinh.,True
